Manjeshwar,237875,5,10.6
Pavoor,4798,9,2.2
Vorkady,8787,13,2.6
Pathur,6383,13,4.2
Kodalamogaru,5788,5,7.7
Koliyoor,2743,20,7.7
Kaliyoor,2323,16,7.6
Talikala,1847,8,12.4
Meenja,4144,8,1.7
Kadambar,2616,2,6.0
Moodambail,4779,14,9.7
Kuloor,3381,14,10.2
Majibail,1485,13,9.2
Badaje,8170,5,1.3
Mulinja,3841,8,13.6
Kodibail,3614,1,13.3
Ichilangod,4148,7,5.1
Heroor,3195,11,3.9
Kubanoor,2178,19,11.8
Bekoor,1856,3,2.2
Kayyar,4268,14,6.1
Kudalmarkala,7081,5,13.2
Paivalike,9034,14,12.8
Chippar,2834,20,11.9
Bayar,11057,7,2.2
Badoor,5536,18,6.9
Angadimogaru,2552,13,3.7
Mugu,2951,6,11.5
Maire,5080,4,11.2
Enmakaje,12697,15,0.3
Kattukukke,3955,4,1.0
Padre,5092,3,1.8
Badiyadka,10694,17,11.9
Nirchal,12369,1,5.0
Bela,11144,4,9.4
Puthige,5441,5,5.2
Edanad,2922,6,2.5
Kannur,2421,3,12.0
Kidoor,2569,1,12.3
Ujarulvar,1328,15,4.6
Bombrana,3759,7,12.3
Arikady,8001,7,10.0
Ichilampady,4001,2,2.8
Ubrangala,3611,11,14.3
Kumbadaje,11161,15,10.5
Nettanige,6305,12,14.0
Bellur,3936,16,3.3
Kasaragod,208968,8,0.1
Patla,5481,6,4.8
Kalnad,18029,13,13.9
Payyannur,179741,4,12.3
Ramanthali,25711,16,0.2
Peralam,7607,8,12.5
Kankole,10665,11,7.5
Alapadamba,8660,3,1.5
Eramam,9448,19,14.9
Perinthatta,5416,12,7.1
Kuttoor,8143,14,11.0
Vellora,10239,3,10.2
Peringome,16721,19,10.8
Vayakkara,18687,10,14.8
Pulingome,10672,16,14.4
Thirumeni,8611,7,14.6
Panapuzha,11355,6,4.9
Mattool,27806,9,11.5
Taliparamba,187567,7,11.0
Thimiri,18044,19,2.9
Alakode,33173,15,10.1
Vellad,25875,14,8.0
New Naduvil,20369,15,12.3
Kooveri,19033,16,13.9
Panniyoor,12382,20,5.8
Kuttiyeri,12473,15,2.5
Pattuvam,15659,1,8.9
Chuzhali,14759,20,10.3
Chengalai,15800,17,13.9
Irikkur,159443,2,10.8
Nediyanga,15859,1,9.8
Eruvassy,19216,10,3.4
Payyavoor,22998,1,2.0
Nuchiyad,12686,17,0.6
Vayathur,22743,20,10.0
Padiyoor,12114,4,12.8
Kalliad,9410,6,1.3
Sreekandapuram,17630,13,3.2
Malapattam,9628,10,9.3
Kayaralam,17159,1,2.3
Kannur,0,3,6.7
Edakkad,0,5,11.9
Iritty,149915,9,11.2
Pattannur,15003,14,14.4
Chavassery,22480,8,9.6
Keezhur,16597,3,14.6
Payam,15429,12,4.8
Vilamana,14059,6,14.0
Ayyankunnu,22436,7,1.7
Aralam,29328,11,5.1
Thillenkeri,14583,19,8.7
Peravoor,136313,20,8.4
Kottiyoor,16698,20,14.5
Mananthavady,260544,11,4.4
Thirunelly,12878,1,2.2
Thrissilery,16818,18,7.8
Payyampally,13311,18,6.0
Mananthavady,34663,10,6.4
Thavinhal,17840,16,9.2
Periya,11174,12,1.1
Thondernad,11752,1,0.3
Valat,10799,13,11.8
Edavaka,16737,11,13.3
Nalloornad,16928,14,7.6
Cherukottur,11462,15,9.2
Panamaram,12683,18,1.6
Anchukunnu (Part),19069,6,1.4
Porunnanore,22137,8,11.0
Vellamunda,18069,9,13.0
Kanjirangad,11811,6,5.4
Nadavayal (Part),2413,17,8.0
Kalpetta,234439,11,14.2
Anchukunnu (Part),9,10,13.1
Nadavayal (Part),4367,20,13.2
