Manjeshwar,237875,7,8.3,"Manjeshwar, Manjeswaram, Kasaragod district, Kerala, 574156, India",12.7193588,74.8861095
Pavoor,4798,2,6.1,"Pavoor, Vorkady, Manjeswaram, Kasaragod district, Kerala, India",12.7578254,74.90980647942887
Vorkady,8787,10,3.0,"Vorkady, Taudugoli, Manjeswaram, Kasaragod district, Kerala, India",12.76129015,74.95314681728178
Pathur,6383,10,1.5,"Pathur, Kudavasal, Thiruvarur District, Tamil Nadu, 613702, India",10.7816249,79.4842804
Kodalamogaru,5788,6,0.9,"Kodlamogaru, Manjeswaram, Kasaragod district, Kerala, India",12.7509267,74.9642494
Koliyoor,2743,16,10.1,"VCB at Koliyoor-Renjagudi, Manjeswaram, Kasaragod district, Kerala, 671323, India",12.7354108,74.9592244
Kaliyoor,2323,11,7.2,"kaliyoor busstop, Vedivachan Koil to Vellayani, Mukaloormoola, Thiruvananthapuram, Kerala, 695001, India",8.4321369,77.0167049
Meenja,4144,14,8.4,"Meenja, Manjeswaram, Kasaragod district, Kerala, 671323, India",12.7159433,74.9522495
Kadambar,2616,5,0.8,"Kadambar, Morathana, Manjeswaram, Kasaragod district, Kerala, India",12.725126750000001,74.93850066292049
Moodambail,4779,14,13.5,"Government High School Moodambail, LR, Meenja, Manjeswaram, Kasaragod district, Kerala, 671323, India",12.691699400000001,74.92010190646468
Kuloor,3381,13,10.2,"Kuloor, Mangaluru taluk, Dakshina Kannada district, Karnataka, 575010, India",12.9230007,74.831304
Badaje,8170,16,7.8,"Badaje, Manjeshwar, Manjeswaram, Kasaragod district, Kerala, India",12.7243994,74.90029397867366
Mulinja,3841,5,4.6,"Mulinja, Santhwadi, Manjeswaram, Kasaragod district, Kerala, India",12.68647015,74.91594742093727
Kodibail,3614,11,15.0,"NA Lower Primary School, Kodibail, LR, Mulinja SC Colony, Uppala, Manjeswaram, Kasaragod district, Kerala, 671322, India",12.6720543,74.9167334
Ichilangod,4148,14,6.2,"IA Lower Primary School, Ichilangod, LR, Water Tank SC Colony, Manjeswaram, Kasaragod district, Kerala, 671324, India",12.6368644,74.9507242
Heroor,3195,11,9.6,"Government Boys Lower Primary School, Heroor, LR, Chinnamugar, Manjeswaram, Kasaragod district, Kerala, 671324, India",12.6389125,74.9709965
Kubanoor,2178,4,0.0,"Kubanoor, Bekoor, Manjeswaram, Kasaragod district, Kerala, 671332, India",12.667236500000001,74.94539477787728
Bekoor,1856,18,14.9,"Bekoor, Manjeswaram, Kasaragod district, Kerala, 671332, India",12.6700436,74.9357444
